附表3:系统功能点计数表,,,,,,,,,,,,,
序号,子系统,一级功能模块,功能模块名称,事务事项编号及名称,功能名称,数据类型,是否计算,,调整复用度后的分值,复用度,,是否实现,
105,,,,,联邦求交日志导出,EO,5,1,1.67 ,1,,否,数据安全
106,,,,,联邦查询日志记录,EI,4,1,1.33 ,1,,否,数据安全
107,,,,,联邦查询日志导出,EO,5,1,1.67 ,1,,否,数据安全
108,,,,,联邦求差,ILF,10,1,3.33 ,1,,否,数据安全
109,,,,,联邦求查日志记录,EI,4,1,1.33 ,1,,否,数据安全
110,,,,,联邦求差日志导出,EO,5,1,1.67 ,1,,否,数据安全
111,,,,,联邦求并,ILF,10,1,3.33 ,1,,否,数据安全
112,,,,,联邦求并日志记录,EI,4,1,1.33 ,1,,否,数据安全
113,,,,,联邦求并日志导出,EO,5,1,1.67 ,1,,否,数据安全
114,,,,,联邦查询去除重复数据,EI,4,1,1.33 ,1,,否,数据安全
115,,,,,联邦查询多列联合ID,EI,4,1,1.33 ,1,,否,数据安全
116,,,,,联邦查询Payload分块,EI,4,1,1.33 ,1,,否,数据安全
117,,,,,联邦查询Payload指定输出字段,EQ,4,1,1.33 ,1,,否,数据安全
118,,,,,联邦查询计费（按次数）,ILF,10,1,3.33 ,1,,否,数据安全
119,,,,,联邦查询计费（按命中）,ILF,10,1,3.33 ,1,,否,数据安全
120,,,,,联邦查询去重计费（固定时间范围）,ILF,10,1,3.33 ,1,,否,数据安全
121,,,,,联邦查询去重计费（滚动时间范围）,ILF,10,1,3.33 ,1,,否,数据安全
122,,,,,联邦查询实时接口校验,EI,4,1,1.33 ,1,,否,数据安全
123,,,,,联邦求交分桶工具,ILF,10,1,3.33 ,1,,否,数据安全
124,,,,,联邦查询压缩工具,ILF,10,1,3.33 ,1,,否,数据安全
125,,,,,联邦查询解压工具,ILF,10,1,3.33 ,1,,否,数据安全
126,,,,,联邦查询分桶工具,ILF,10,1,3.33 ,1,,否,数据安全
127,,,,,联邦查询编码工具,ILF,10,1,3.33 ,1,,否,数据安全
128,,,,,联邦查询解码工具,ILF,10,1,3.33 ,1,,否,数据安全
129,,,联邦统计功能,,联邦统计描述性统计（均值、最值、方差、标准差、中位数）,EQ,4,1,1.33 ,1,,否,数据安全
130,,,,,联邦统计分组统计,EQ,4,1,1.33 ,1,,否,数据安全
131,,,,,联邦统计条件统计,EQ,4,1,1.33 ,1,,否,数据安全
132,,,,,联邦统计占比统计,EQ,4,1,1.33 ,1,,否,数据安全
133,,,,,联邦统计检验分析-T检验,EO,5,1,1.67 ,1,,否,数据安全
134,,,,,联邦统计检验分析-F检验,EO,5,1,1.67 ,1,,否,数据安全
135,,,,,联邦统计检验分析-卡方检验,EO,5,1,1.67 ,1,,否,数据安全
136,,,,,联邦统计回归分析,EO,5,1,1.67 ,1,,否,数据安全
137,,,,,联邦统计相关性分析,EO,5,1,1.67 ,1,,否,数据安全
138,,,,,联邦统计结果存储,EI,4,1,1.33 ,1,,否,数据安全
139,,,,,联邦统计结果导出,EQ,4,1,1.33 ,1,,否,数据安全
140,,,,,联邦统计日志记录,EI,4,1,1.33 ,1,,否,数据安全
141,,,,,联邦统计日志导出,EO,5,1,1.67 ,1,,否,数据安全
142,,,联邦分析功能,,联邦分析SQL安全校验,ILF,10,1,3.33 ,1,,否,数据安全
143,,,,,联邦分析字段保密属性,EO,5,1,1.67 ,1,,否,数据安全
144,,,,,联邦分析筛选算子（where等）,ILF,10,1,3.33 ,1,,否,数据安全
145,,,,,联邦分析连接算子（join等）,ILF,10,1,3.33 ,1,,否,数据安全
146,,,,,联邦分析聚合算子（sum/avg等）,ILF,10,1,3.33 ,1,,否,数据安全
147,,,,,联邦分析分组算子（groupby等）,ILF,10,1,3.33 ,1,,否,数据安全
148,,,,,联邦分析排序算子,ILF,10,1,3.33 ,1,,否,数据安全
149,,,,,联邦分析窗口函数,ILF,10,1,3.33 ,1,,否,数据安全
150,,,,,联邦分析关联子查询,EO,5,1,1.67 ,1,,否,数据安全
151,,,,,联邦分析非关联子查询,EO,5,1,1.67 ,1,,否,数据安全
152,,,,,联邦分析对接主流关系型数据库,EIF,7,1,2.33 ,1,,否,数据安全
153,,,,,联邦分析对接主流大数据平台,EIF,7,1,2.33 ,1,,否,数据安全
